"copyright";"date";"explanation";"hdurl";"media_type";"service_version";"title";"url"
"";"2016-11-24";"Scroll right and you can cruise along the icy rings of Saturn. This high resolution scan is a mosaic of images presented in natural color. The images were recorded in May 2007 over about 2.5 hours as the Cassini spacecraft passed above the unlit side of the rings. To help track your progress, major rings and gaps are labeled along with the distance from the center of the gas giant in kilometers. The alphabetical designation of Saturn's rings is historically based on their order of discovery; rings A and B are the bright rings separated by the Cassini division. In order of increasing distance from Saturn, the seven main rings run D,C,B,A,F,G,E. (Faint, outer rings G and E are not imaged here.) Four days from now, on November 29, Cassini will make a close flyby of Saturn's moon Titan and use the large moon's gravity to nudge the spacecraft into a series of 20 daring, elliptical, ring-grazing orbits. Diving through the ring plane just 11,000 kilometers outside the F ring (far right) Cassini's first ring-graze will be on December 4.";"http://apod.nasa.gov/apod/image/1611/PIA08389_fig1.jpg";"image";"v1";"Ring Scan";"http://apod.nasa.gov/apod/image/1611/PIA08389_fig1_h500.jpg"
"Sébastien Gozé";"2016-11-23";"Do you see the bubble in the center?  Seemingly adrift in a cosmic sea of stars and glowing gas, the delicate, floating apparition in this widefield view is cataloged as NGC 7635 - The Bubble Nebula. A mere 10 light-years wide, the tiny Bubble Nebula and the larger complex of interstellar gas and dust clouds are found about 11,000 light-years distant, straddling the boundary between the parental constellations Cepheus and Cassiopeia. Also included in the breathtaking vista is open star cluster M52 (upper left), some 5,000 light-years away. The featured image spans about two degrees on the sky corresponding to a width of about 375 light-years at the estimated distance of the Bubble Nebula.   Follow APOD on: Facebook,  Google Plus,  Instagram, or Twitter";"http://apod.nasa.gov/apod/image/1611/Bubble_Goze_1600.jpg";"image";"v1";"NGC 7635: Bubble in a Cosmic Sea";"http://apod.nasa.gov/apod/image/1611/Bubble_Goze_960.jpg"
"";"2016-11-22";"Is there an ocean below Sputnik Planum on Pluto? The unusually smooth 1000-km wide golden expanse, visible in the featured image from New Horizons, appears segmented into convection cells. But how was this region created?  One hypothesis now holds the answer to be a great impact that stirred up an underground ocean of salt water roughly 100-kilometers thick.  The featured image of Sputnik Planum, part of the larger heart-shaped Tombaugh Regio, was taken last July and shows true details in exaggerated colors. Although the robotic New Horizons spacecraft is off on a new adventure, continued computer-modeling of this surprising surface feature on Pluto is likely to lead to more refined speculations about what lies beneath.";"http://apod.nasa.gov/apod/image/1611/SputnikPlanum_NewHorizons_1180.jpg";"image";"v1";"Pluto's Sputnik Planum";"http://apod.nasa.gov/apod/image/1611/SputnikPlanum_NewHorizons_960.jpg"
"Jeff Dai";"2016-11-21";"A nova in Sagittarius is bright enough to see with binoculars.  Discovered last month by the All-Sky Automated Survey for Supernovae (ASAS-SN), the stellar explosion even approached the limit of naked-eye visibility last week. A classical nova results from a thermonuclear explosion on the surface of a white dwarf star -- a dense star having the size of our Earth but the mass of our Sun.  In the featured image, the nova was captured last week above ancient Wat Mahathat in Sukhothai, Thailand. To see Nova Sagittarius 2016 yourself, just go out just after sunset and locate near the western horizon the constellation of the Archer (Sagittarius), popularly identified with an iconic teapot.  Also visible near the nova is the very bright planet Venus. Dont delay, though, because not only is the nova fading, but that part of the sky is setting continually closer to sunset.";"http://apod.nasa.gov/apod/image/1611/NovaSag2016_Dai_1500_annotated.jpg";"image";"v1";"Nova over Thailand";"http://apod.nasa.gov/apod/image/1611/NovaSag2016_Dai_960_annotated.jpg"
"";"2016-11-20";"How much mass do flocculent spirals hide?  The featured true color image of flocculent spiral galaxy NGC 4414 was taken with the Hubble Space Telescope to help answer this question. The featured image was augmented with data from the Sloan Digital Sky Survey (SDSS).  Flocculent spirals -- galaxies without well-defined spiral arms -- are a quite common form of galaxy, and NGC 4414 is one of the closest.  Stars and gas near the visible edge of spiral galaxies orbit the center so fast that the gravity from a large amount of unseen dark matter must be present to hold them together.  Understanding the matter and dark matter distribution of NGC 4414 helps humanity calibrate the rest of the galaxy and, by deduction, flocculent spirals in general.  Further, calibrating the distance to NGC 4414 helps  humanity calibrate the cosmological distance scale of the entire  visible universe.   Free Download: APOD 2017 Calendar: NASA Images";"http://apod.nasa.gov/apod/image/1611/ngc4414_HubbleSdss_2069.jpg";"image";"v1";"NGC 4414: A Flocculent Spiral Galaxy";"http://apod.nasa.gov/apod/image/1611/ngc4414_HubbleSdss_960.jpg"
"Chanctonbury
Observatory";"2016-11-19";"The recognizable profile of the Pelican Nebula soars nearly 2,000 light-years away in the high flying constellation Cygnus, the Swan. Also known as IC 5070, this interstellar cloud of gas and dust is appropriately found just off the ""east coast"" of the North America Nebula (NGC 7000), another surprisingly familiar looking emission nebula in Cygnus. Both Pelican and North America nebulae are part of the same large and complex star forming region, almost as nearby as the better-known Orion Nebula. From our vantage point, dark dust clouds (upper left) help define the Pelican's eye and long bill, while a bright front of ionized gas suggests the curved shape of the head and neck. This striking synthesized color view utilizes narrowband image data recording the emission of hydrogen and oxygen atoms in the cosmic cloud.  The scene spans some 30 light-years at the estimated distance of the Pelican Nebula.";"http://apod.nasa.gov/apod/image/1611/IC5070_Pelican_Nebula_Steve_Richards2048.jpg";"image";"v1";"IC 5070: A Dusty Pelican in the Swan";"http://apod.nasa.gov/apod/image/1611/IC5070_Pelican_Nebula_Steve_Richards1024.jpg"
"Catching the Light";"2016-11-18";"A supermoon sets over the metropolis of Philadelphia in this twilight snapshot captured on November 14 at 6:21am Eastern Standard Time. Within hours of the Moon's exact full phase, that time does correspond to a lunar perigee or the closest point in the Moon's elliptical orbit around our fair planet. Slightly bigger and brighter at perigee, this Full Moon is still flattened and distorted in appearance by refraction in atmospheric layers along the sight-line near the horizon. Also like more ordinary Full Moons, it shines with the warm color of sunlight. Joined by buildings along the Philadelphia skyline, the perigee full moonlight is reflected in the waters of the mighty Cooper River.";"http://apod.nasa.gov/apod/image/1611/Supermoon_20161114lodriguss.jpg";"image";"v1";"Philadelphia Perigee Full Moon";"http://apod.nasa.gov/apod/image/1611/Supermoon_20161114_1024lodriguss.jpg"
"";"2016-11-17";"Faster than a speeding bullet, more powerful than a locomotive, and able to leap tall buildings in a single bound, this Soyuz rocket stands on the launch pad at Baikonur Cosmodrome in Kazakhstan on November 14. Beyond it rises a supermoon, but fame for exceptional feats of speed, strength, and agility is not the reason November's Full Moon was given this popular name. Instead, whenever a Full Moon shines near perigee, the closest point in its elliptical orbit around Earth, it appears larger and brighter than other more distant Full Moons, and so a supermoon is born. In fact, November's supermoon was the second of three consecutive supermoons in 2016. It was also the closest and most superest Full Moon since 1948. Meanwhile, the mild mannered Soyuz rocket is scheduled to launch its Expedition 50/51 crew to the International Space Station today, November 17.";"http://apod.nasa.gov/apod/image/1611/nhq201611140001.jpg";"image";"v1";"Soyuz vs Supermoon";"http://apod.nasa.gov/apod/image/1611/nhq201611140001_900x1238.jpg"
"David Lindemann";"2016-11-16";"Is the heart and soul of our Galaxy located in Cassiopeia?  Possibly not, but that is where two bright emission nebulas nicknamed Heart and Soul can be found.  The Heart Nebula, officially dubbed IC 1805 and visible in the featured image on the right, has a shape reminiscent of a classical heart symbol.  Both nebulas shine brightly in the red light of energized hydrogen.  Several young open clusters of stars populate the image and are visible here in blue, including the nebula centers.  Light takes about 6,000 years to reach us from these nebulas, which together span roughly 300 light years.  Studies of stars and clusters like those found in the Heart and Soul Nebulas have focused on how massive stars form and how they affect their environment.   Follow APOD on: Facebook,  Google Plus,  Instagram, or Twitter";"http://apod.nasa.gov/apod/image/1611/HeartSoul_Lindemann_1280.jpg";"image";"v1";"The Heart and Soul Nebulas";"http://apod.nasa.gov/apod/image/1611/HeartSoul_Lindemann_960.jpg"
"";"2016-11-15";"Why is it so warm in northern North America? Usually during this time of year -- mid-November -- temperatures average as much as 30 degrees colder. Europe is not seeing a similar warming.  One factor appears to be an unusually large and stable high pressure region that has formed over Canada, keeping normally colder arctic air away.  Although the fundamental cause of any weather pattern is typically complex, speculation holds that this persistent Canadian anticyclonic region is related to warmer than average sea surface temperatures in the mid-Pacific -- an El Niño -- operating last winter.  North Americans should enjoy it while it lasts, though. In the next week or two, cooler-than-average temperatures now being recorded in the mid-Pacific -- a La Niña -- might well begin to affect North American wind and temperature patterns.   APOD Galleries: Best of Supermoon 2016 (I), Best of Supermoon 2016 (II)";"http://apod.nasa.gov/apod/image/1611/WarmTempsNA2_CCI_722.jpg";"image";"v1";"Cold Weather Delayed over North America";"http://apod.nasa.gov/apod/image/1611/WarmTempsNA2_CCI_960.jpg"
"Kris Smith";"2016-11-14";"What are those specks in front of the Moon? They are silhouettes of the International Space Station (ISS).  Using careful planning and split-second timing, a meticulous lunar photographer captured ten images of the ISS passing in front of last month's full moon. But this wasn't just any full moon -- this was the first of the three consecutive 2016 supermoons.  A supermoon is a full moon that appears a few percent larger and brighter than most other full moons.  The featured image sequence was captured near Dallas, Texas. Occurring today is the second supermoon of this series, a full moon that is the biggest and brightest not only of the year, but of any year since 1948.  To see today's super-supermoon yourself, just go outside at night and look up. The third supermoon of this year's series will occur in mid-December.   APOD Gallery: Best of Supermoon 2016";"http://apod.nasa.gov/apod/image/1611/ISStransit_Smith_3000.jpg";"image";"v1";"Supermoon and Space Station";"http://apod.nasa.gov/apod/image/1611/ISStransit_Smith_960.jpg"
